id,team,class,time,x_pos,y_pos
3,1,0,13,429,411
5,1,0,13,432,129
6,0,0,13,314,206
15,-1,1,13,348,196
11,0,0,13,74,251
9,1,0,13,565,226
1,0,0,13,198,340
12,1,0,13,482,198
2,0,0,13,256,267
10,0,0,13,77,215
13,1,0,13,633,241
4,0,0,13,221,93
3,1,0,14,429,411
13,1,0,14,633,242
5,1,0,14,432,129
2,0,0,14,256,267
9,1,0,14,565,226
8,1,0,14,459,297
1,0,0,14,198,340
6,0,0,14,314,206
11,0,0,14,74,251
10,0,0,14,77,216
12,1,0,14,482,198
4,0,0,14,221,93
7,1,0,14,596,266
15,-1,1,14,348,196
1,0,0,15,198,340
15,-1,1,15,348,196
4,0,0,15,221,93
3,1,0,15,429,410
13,1,0,15,633,242
6,0,0,15,314,206
5,1,0,15,432,129
2,0,0,15,256,267
12,1,0,15,482,198
11,0,0,15,74,251
10,0,0,15,77,216
9,1,0,15,565,226
7,1,0,15,596,266
8,1,0,15,459,297
10,0,0,16,77,216
6,0,0,16,314,206
3,1,0,16,429,410
11,0,0,16,74,251
1,0,0,16,198,340
4,0,0,16,221,93
7,1,0,16,596,265
5,1,0,16,432,129
2,0,0,16,256,267
9,1,0,16,565,226
8,1,0,16,459,297
12,1,0,16,482,198
13,1,0,16,633,243
15,-1,1,16,348,196
12,1,0,17,482,198
9,1,0,17,565,226
13,1,0,17,633,243
5,1,0,17,432,128
8,1,0,17,459,297
15,-1,1,17,348,196
3,1,0,17,429,410
7,1,0,17,596,265
1,0,0,17,198,340
2,0,0,17,256,267
11,0,0,17,74,251
4,0,0,17,222,93
6,0,0,17,314,206
10,0,0,17,77,216
8,1,0,18,459,297
5,1,0,18,432,127
10,0,0,18,77,216
2,0,0,18,256,266
13,1,0,18,633,243
15,-1,1,18,348,196
4,0,0,18,222,94
6,0,0,18,314,206
1,0,0,18,198,340
7,1,0,18,596,265
12,1,0,18,482,198
11,0,0,18,73,251
3,1,0,18,429,410
9,1,0,18,565,226
12,1,0,19,482,198
10,0,0,19,77,216
8,1,0,19,459,297
4,0,0,19,222,94
11,0,0,19,73,251
15,-1,1,19,347,196
13,1,0,19,633,243
2,0,0,19,255,266
5,1,0,19,432,127
9,1,0,19,565,226
1,0,0,19,198,340
7,1,0,19,597,264
3,1,0,19,429,410
6,0,0,19,314,205
8,1,0,20,459,296
1,0,0,20,198,340
3,1,0,20,429,410
15,-1,1,20,347,196
5,1,0,20,432,128
7,1,0,20,597,264
11,0,0,20,73,250
10,0,0,20,77,216
6,0,0,20,314,206
2,0,0,20,255,266
13,1,0,20,633,243
12,1,0,20,482,199
4,0,0,20,221,94
9,1,0,20,565,226
15,-1,1,21,348,196
12,1,0,21,482,200
1,0,0,21,198,340
9,1,0,21,565,226
8,1,0,21,459,296
10,0,0,21,77,216
2,0,0,21,255,266
5,1,0,21,432,128
13,1,0,21,633,243
7,1,0,21,597,264
11,0,0,21,74,251
6,0,0,21,314,206
3,1,0,21,429,410
4,0,0,21,222,93
4,0,0,22,221,92
9,1,0,22,565,226
10,0,0,22,77,216
11,0,0,22,74,251
12,1,0,22,482,199
13,1,0,22,633,243
2,0,0,22,255,266
5,1,0,22,432,129
6,0,0,22,314,206
1,0,0,22,198,340
7,1,0,22,597,265
8,1,0,22,459,297
15,-1,1,22,348,196
3,1,0,22,429,410
6,0,0,23,314,206
1,0,0,23,198,340
10,0,0,23,77,215
8,1,0,23,459,297
11,0,0,23,74,251
12,1,0,23,482,199
7,1,0,23,597,264
13,1,0,23,633,243
9,1,0,23,565,226
2,0,0,23,255,266
5,1,0,23,432,129
15,-1,1,23,348,195
3,1,0,23,429,410
4,0,0,23,221,92
13,1,0,24,633,243
10,0,0,24,77,215
1,0,0,24,198,340
3,1,0,24,429,410
7,1,0,24,597,264
2,0,0,24,256,267
5,1,0,24,432,129
15,-1,1,24,348,195
8,1,0,24,459,296
9,1,0,24,565,226
4,0,0,24,221,92
6,0,0,24,314,206
12,1,0,24,482,199
11,0,0,24,74,251
5,1,0,25,432,129
9,1,0,25,565,226
3,1,0,25,429,410
2,0,0,25,255,266
8,1,0,25,459,297
12,1,0,25,482,200
10,0,0,25,77,214
11,0,0,25,74,251
6,0,0,25,314,206
7,1,0,25,597,265
15,-1,1,25,348,195
1,0,0,25,198,340
13,1,0,25,633,243
4,0,0,25,221,93
8,1,0,26,459,297
9,1,0,26,565,226
2,0,0,26,255,266
1,0,0,26,198,340
7,1,0,26,597,265
11,0,0,26,74,251
10,0,0,26,77,214
5,1,0,26,432,129
12,1,0,26,482,200
6,0,0,26,314,206
13,1,0,26,633,243
15,-1,1,26,348,195
4,0,0,26,221,92
3,1,0,26,429,410
2,0,0,27,255,266
7,1,0,27,597,265
10,0,0,27,77,214
1,0,0,27,198,340
8,1,0,27,459,297
3,1,0,27,429,410
6,0,0,27,314,206
11,0,0,27,74,251
9,1,0,27,565,226
5,1,0,27,432,129
15,-1,1,27,348,195
13,1,0,27,633,243
12,1,0,27,482,199
4,0,0,27,221,92
3,1,0,28,429,410
15,-1,1,28,348,195
6,0,0,28,314,206
9,1,0,28,565,226
7,1,0,28,597,265
12,1,0,28,482,198
10,0,0,28,77,214
2,0,0,28,256,267
11,0,0,28,74,251
4,0,0,28,221,92
1,0,0,28,198,340
5,1,0,28,432,129
8,1,0,28,459,296
13,1,0,28,633,243
13,1,0,29,633,243
15,-1,1,29,348,195
2,0,0,29,256,267
3,1,0,29,429,410
9,1,0,29,565,226
12,1,0,29,482,198
1,0,0,29,198,340
8,1,0,29,459,296
6,0,0,29,314,206
11,0,0,29,74,251
5,1,0,29,432,129
7,1,0,29,597,265
10,0,0,29,77,215
4,0,0,29,221,92
13,1,0,30,633,243
10,0,0,30,77,216
9,1,0,30,565,226
11,0,0,30,74,251
8,1,0,30,459,296
6,0,0,30,314,205
15,-1,1,30,348,195
12,1,0,30,483,198
5,1,0,30,432,129
2,0,0,30,255,266
7,1,0,30,597,265
4,0,0,30,222,93
1,0,0,30,198,340
3,1,0,30,429,410
15,-1,1,31,348,195
12,1,0,31,482,199
6,0,0,31,314,206
5,1,0,31,432,129
13,1,0,31,634,243
1,0,0,31,198,340
3,1,0,31,429,410
11,0,0,31,74,251
2,0,0,31,255,266
7,1,0,31,597,264
9,1,0,31,565,226
10,0,0,31,77,216
8,1,0,31,459,296
4,0,0,31,222,93
7,1,0,32,597,264
2,0,0,32,255,266
1,0,0,32,198,340
4,0,0,32,222,93
9,1,0,32,565,226
5,1,0,32,432,129
3,1,0,32,429,410
10,0,0,32,77,216
8,1,0,32,459,296
6,0,0,32,314,206
13,1,0,32,634,243
11,0,0,32,74,251
15,-1,1,32,348,195
12,1,0,32,482,200
13,1,0,33,634,242
5,1,0,33,432,129
9,1,0,33,565,226
15,-1,1,33,348,195
6,0,0,33,314,205
8,1,0,33,459,296
3,1,0,33,429,410
12,1,0,33,482,200
11,0,0,33,74,251
7,1,0,33,597,264
10,0,0,33,77,216
1,0,0,33,198,340
4,0,0,33,222,93
2,0,0,33,255,266
15,-1,1,34,348,195
2,0,0,34,255,266
1,0,0,34,198,340
12,1,0,34,482,200
13,1,0,34,634,242
9,1,0,34,565,226
3,1,0,34,429,410
5,1,0,34,432,129
4,0,0,34,222,93
8,1,0,34,459,296
7,1,0,34,597,264
6,0,0,34,314,206
11,0,0,34,74,251
10,0,0,34,77,216
13,1,0,35,634,242
7,1,0,35,596,265
3,1,0,35,429,410
8,1,0,35,459,296
11,0,0,35,74,251
6,0,0,35,314,206
15,-1,1,35,348,195
2,0,0,35,255,266
12,1,0,35,482,200
1,0,0,35,198,340
9,1,0,35,565,226
4,0,0,35,222,93
10,0,0,35,77,216
5,1,0,35,432,129
9,1,0,36,565,226
4,0,0,36,222,93
5,1,0,36,432,129
12,1,0,36,482,199
15,-1,1,36,348,195
6,0,0,36,314,206
11,0,0,36,74,251
10,0,0,36,77,216
2,0,0,36,255,266
13,1,0,36,633,243
1,0,0,36,198,340
3,1,0,36,429,410
8,1,0,36,459,296
7,1,0,36,597,264
8,1,0,37,459,296
6,0,0,37,314,205
15,-1,1,37,348,195
4,0,0,37,222,93
12,1,0,37,482,199
7,1,0,37,597,264
9,1,0,37,565,226
11,0,0,37,74,251
2,0,0,37,255,266
10,0,0,37,77,216
13,1,0,37,634,242
1,0,0,37,198,340
3,1,0,37,429,410
5,1,0,37,432,129
12,1,0,38,481,200
9,1,0,38,565,226
11,0,0,38,74,251
6,0,0,38,314,205
10,0,0,38,77,216
4,0,0,38,222,93
3,1,0,38,429,410
7,1,0,38,597,264
5,1,0,38,432,129
15,-1,1,38,348,195
1,0,0,38,198,340
13,1,0,38,634,242
8,1,0,38,459,297
2,0,0,38,255,266
7,1,0,39,597,264
15,-1,1,39,348,195
11,0,0,39,74,251
8,1,0,39,459,296
10,0,0,39,77,216
3,1,0,39,429,410
6,0,0,39,314,205
2,0,0,39,256,267
5,1,0,39,432,129
4,0,0,39,222,93
13,1,0,39,633,243
9,1,0,39,565,226
12,1,0,39,481,201
1,0,0,39,198,340
13,1,0,40,634,242
10,0,0,40,77,216
4,0,0,40,222,93
2,0,0,40,256,267
15,-1,1,40,348,195
7,1,0,40,597,264
9,1,0,40,565,226
12,1,0,40,481,200
8,1,0,40,459,296
3,1,0,40,429,410
5,1,0,40,432,129
6,0,0,40,314,205
11,0,0,40,74,251
1,0,0,40,198,340
10,0,0,41,77,216
8,1,0,41,459,296
2,0,0,41,256,267
13,1,0,41,633,243
12,1,0,41,481,200
4,0,0,41,222,93
5,1,0,41,432,128
15,-1,1,41,348,195
11,0,0,41,74,251
1,0,0,41,198,340
6,0,0,41,314,205
7,1,0,41,597,264
3,1,0,41,429,410
9,1,0,41,565,226
15,-1,1,42,348,195
11,0,0,42,74,251
8,1,0,42,459,296
2,0,0,42,256,267
7,1,0,42,597,264
4,0,0,42,222,93
10,0,0,42,77,216
12,1,0,42,481,200
3,1,0,42,429,410
9,1,0,42,565,226
1,0,0,42,198,340
5,1,0,42,432,129
13,1,0,42,633,242
6,0,0,42,314,205
5,1,0,43,432,129
8,1,0,43,459,296
6,0,0,43,314,205
7,1,0,43,597,264
9,1,0,43,565,226
2,0,0,43,256,267
11,0,0,43,74,251
1,0,0,43,198,340
10,0,0,43,77,216
13,1,0,43,634,242
12,1,0,43,481,200
4,0,0,43,222,93
3,1,0,43,429,410
15,-1,1,43,348,195
11,0,0,44,74,251
15,-1,1,44,348,195
3,1,0,44,429,410
9,1,0,44,565,226
6,0,0,44,314,205
5,1,0,44,432,129
1,0,0,44,198,340
8,1,0,44,459,297
7,1,0,44,597,264
4,0,0,44,221,92
12,1,0,44,481,200
13,1,0,44,633,242
2,0,0,44,255,266
10,0,0,44,77,216
8,1,0,45,459,296
9,1,0,45,565,226
12,1,0,45,481,201
1,0,0,45,198,340
5,1,0,45,432,128
2,0,0,45,255,266
4,0,0,45,221,92
10,0,0,45,77,216
7,1,0,45,597,264
3,1,0,45,429,410
11,0,0,45,74,251
6,0,0,45,314,205
13,1,0,45,633,243
15,-1,1,45,348,195
1,0,0,46,198,340
5,1,0,46,432,128
6,0,0,46,314,205
13,1,0,46,633,243
7,1,0,46,597,264
4,0,0,46,221,92
10,0,0,46,77,216
12,1,0,46,481,201
3,1,0,46,429,410
11,0,0,46,74,251
15,-1,1,46,348,195
2,0,0,46,255,266
9,1,0,46,565,226
8,1,0,46,459,296
1,0,0,47,198,340
9,1,0,47,565,226
8,1,0,47,459,296
5,1,0,47,432,127
3,1,0,47,429,410
2,0,0,47,255,266
12,1,0,47,481,201
13,1,0,47,632,242
6,0,0,47,314,205
7,1,0,47,597,264
15,-1,1,47,348,195
10,0,0,47,77,216
11,0,0,47,74,251
4,0,0,47,221,92
3,1,0,48,429,410
8,1,0,48,459,296
15,-1,1,48,347,195
1,0,0,48,198,340
5,1,0,48,432,127
12,1,0,48,481,201
9,1,0,48,565,226
10,0,0,48,77,216
7,1,0,48,597,264
2,0,0,48,255,266
4,0,0,48,221,92
6,0,0,48,314,205
13,1,0,48,633,241
11,0,0,48,74,251
10,0,0,49,77,215
15,-1,1,49,347,195
13,1,0,49,633,241
7,1,0,49,596,265
6,0,0,49,314,205
1,0,0,49,198,340
4,0,0,49,221,92
2,0,0,49,255,266
9,1,0,49,565,226
12,1,0,49,481,201
5,1,0,49,432,127
8,1,0,49,459,296
11,0,0,49,74,251
3,1,0,49,429,410
6,0,0,50,314,205
9,1,0,50,565,226
7,1,0,50,597,264
8,1,0,50,459,296
15,-1,1,50,347,195
13,1,0,50,633,241
5,1,0,50,432,127
10,0,0,50,77,214
11,0,0,50,74,251
4,0,0,50,222,93
2,0,0,50,256,267
12,1,0,50,481,200
3,1,0,50,429,410
1,0,0,50,198,340
11,0,0,51,74,251
15,-1,1,51,348,195
1,0,0,51,198,340
2,0,0,51,255,266
5,1,0,51,432,127
4,0,0,51,221,92
7,1,0,51,597,264
9,1,0,51,565,226
8,1,0,51,459,296
12,1,0,51,482,199
13,1,0,51,633,241
6,0,0,51,314,205
3,1,0,51,429,410
10,0,0,51,77,214
12,1,0,52,482,199
15,-1,1,52,348,195
11,0,0,52,74,251
2,0,0,52,256,267
6,0,0,52,314,205
5,1,0,52,432,127
1,0,0,52,198,340
10,0,0,52,77,214
7,1,0,52,597,264
13,1,0,52,633,242
3,1,0,52,429,410
8,1,0,52,459,296
9,1,0,52,565,225
4,0,0,52,221,92
9,1,0,53,564,226
11,0,0,53,74,251
10,0,0,53,77,214
7,1,0,53,597,264
2,0,0,53,255,266
8,1,0,53,459,296
1,0,0,53,198,340
15,-1,1,53,348,195
3,1,0,53,429,410
12,1,0,53,481,200
13,1,0,53,633,243
6,0,0,53,314,205
5,1,0,53,432,127
4,0,0,53,221,92
6,0,0,54,314,205
5,1,0,54,432,127
3,1,0,54,429,410
15,-1,1,54,348,195
2,0,0,54,255,266
13,1,0,54,633,244
8,1,0,54,459,296
7,1,0,54,597,264
9,1,0,54,564,227
12,1,0,54,481,201
4,0,0,54,221,92
10,0,0,54,77,214
1,0,0,54,198,340
11,0,0,54,74,251
8,1,0,55,459,296
5,1,0,55,432,127
4,0,0,55,221,92
3,1,0,55,429,410
13,1,0,55,633,244
12,1,0,55,481,200
7,1,0,55,597,264
10,0,0,55,77,214
11,0,0,55,74,251
2,0,0,55,256,266
1,0,0,55,198,340
6,0,0,55,314,205
15,-1,1,55,348,195
9,1,0,55,564,226
15,-1,1,56,348,195
1,0,0,56,198,340
3,1,0,56,429,410
9,1,0,56,564,226
2,0,0,56,256,266
10,0,0,56,77,214
6,0,0,56,314,205
5,1,0,56,432,127
11,0,0,56,74,251
8,1,0,56,459,296
12,1,0,56,482,199
7,1,0,56,597,264
4,0,0,56,221,92
9,1,0,57,564,226
3,1,0,57,429,410
5,1,0,57,432,127
12,1,0,57,482,200
2,0,0,57,255,266
4,0,0,57,222,93
7,1,0,57,597,264
15,-1,1,57,348,196
8,1,0,57,459,296
6,0,0,57,314,205
11,0,0,57,73,251
10,0,0,57,77,214
1,0,0,57,198,340
10,0,0,58,77,214
8,1,0,58,459,296
9,1,0,58,564,226
1,0,0,58,198,340
3,1,0,58,429,410
6,0,0,58,314,206
5,1,0,58,433,127
2,0,0,58,256,266
12,1,0,58,481,201
7,1,0,58,597,263
15,-1,1,58,348,196
11,0,0,58,74,251
4,0,0,58,222,94
3,1,0,59,429,410
15,-1,1,59,348,196
1,0,0,59,198,340
9,1,0,59,564,225
5,1,0,59,432,127
12,1,0,59,482,200
2,0,0,59,255,266
11,0,0,59,74,251
4,0,0,59,222,94
6,0,0,59,314,205
10,0,0,59,77,214
7,1,0,59,597,263
8,1,0,59,459,296
11,0,0,60,74,251
8,1,0,60,459,296
7,1,0,60,597,263
4,0,0,60,222,94
9,1,0,60,564,226
2,0,0,60,256,266
5,1,0,60,432,127
6,0,0,60,314,205
10,0,0,60,77,215
1,0,0,60,198,341
3,1,0,60,429,410
15,-1,1,60,348,196
12,1,0,60,482,199
15,-1,1,61,348,196
1,0,0,61,198,340
3,1,0,61,429,410
7,1,0,61,597,264
5,1,0,61,433,127
4,0,0,61,222,94
9,1,0,61,564,227
12,1,0,61,482,200
8,1,0,61,459,296
10,0,0,61,77,216
11,0,0,61,74,251
2,0,0,61,256,267
6,0,0,61,314,205
8,1,0,62,459,296
4,0,0,62,222,94
7,1,0,62,597,263
10,0,0,62,77,216
2,0,0,62,256,266
1,0,0,62,198,340
9,1,0,62,564,226
3,1,0,62,429,410
12,1,0,62,481,201
11,0,0,62,74,251
15,-1,1,62,348,196
6,0,0,62,314,205
5,1,0,62,433,127
7,1,0,63,597,263
3,1,0,63,429,410
15,-1,1,63,348,196
6,0,0,63,314,205
5,1,0,63,433,127
1,0,0,63,198,340
4,0,0,63,222,94
10,0,0,63,77,216
12,1,0,63,482,200
9,1,0,63,565,226
11,0,0,63,74,251
8,1,0,63,459,296
2,0,0,63,256,266
2,0,0,64,256,266
12,1,0,64,482,199
11,0,0,64,74,251
7,1,0,64,597,263
8,1,0,64,459,296
4,0,0,64,222,94
5,1,0,64,432,127
6,0,0,64,314,206
15,-1,1,64,348,196
1,0,0,64,198,340
9,1,0,64,565,226
10,0,0,64,77,215
3,1,0,64,429,410
15,-1,1,65,347,196
6,0,0,65,314,206
2,0,0,65,256,266
11,0,0,65,74,251
8,1,0,65,459,296
9,1,0,65,565,226
12,1,0,65,482,200
10,0,0,65,77,215
4,0,0,65,221,93
1,0,0,65,198,340
5,1,0,65,432,127
3,1,0,65,429,410
7,1,0,65,597,263
9,1,0,66,565,226
12,1,0,66,482,201
7,1,0,66,597,263
11,0,0,66,74,251
10,0,0,66,77,216
4,0,0,66,221,93
5,1,0,66,433,127
13,1,0,66,633,245
8,1,0,66,459,296
6,0,0,66,314,206
3,1,0,66,429,410
1,0,0,66,198,340
2,0,0,66,256,266
15,-1,1,66,347,196
8,1,0,67,459,296
3,1,0,67,429,410
15,-1,1,67,347,196
9,1,0,67,565,226
11,0,0,67,74,251
7,1,0,67,597,263
10,0,0,67,78,217
2,0,0,67,256,266
4,0,0,67,221,93
6,0,0,67,315,205
13,1,0,67,634,244
1,0,0,67,198,340
12,1,0,67,481,201
5,1,0,67,432,127
11,0,0,68,74,251
7,1,0,68,597,263
2,0,0,68,256,266
5,1,0,68,432,127
9,1,0,68,564,226
8,1,0,68,459,296
15,-1,1,68,347,196
13,1,0,68,634,244
3,1,0,68,429,410
12,1,0,68,482,202
10,0,0,68,78,217
4,0,0,68,221,94
6,0,0,68,314,206
1,0,0,68,198,340
1,0,0,69,197,340
6,0,0,69,314,205
15,-1,1,69,347,196
2,0,0,69,256,266
9,1,0,69,564,226
13,1,0,69,634,245
5,1,0,69,432,127
11,0,0,69,74,251
7,1,0,69,597,263
8,1,0,69,459,296
3,1,0,69,429,410
10,0,0,69,78,217
12,1,0,69,482,202
4,0,0,69,222,94
5,1,0,70,432,127
10,0,0,70,78,217
3,1,0,70,429,410
6,0,0,70,314,206
9,1,0,70,564,226
7,1,0,70,597,263
11,0,0,70,74,251
4,0,0,70,221,94
8,1,0,70,459,296
12,1,0,70,482,202
1,0,0,70,197,340
15,-1,1,70,347,196
2,0,0,70,256,266
9,1,0,71,564,227
3,1,0,71,429,410
13,1,0,71,634,244
7,1,0,71,597,263
11,0,0,71,74,251
5,1,0,71,432,127
4,0,0,71,221,94
2,0,0,71,256,265
15,-1,1,71,347,196
8,1,0,71,459,296
10,0,0,71,78,217
6,0,0,71,314,206
12,1,0,71,482,202
1,0,0,71,197,340
6,0,0,72,314,206
9,1,0,72,564,226
7,1,0,72,597,263
15,-1,1,72,347,196
2,0,0,72,256,266
11,0,0,72,74,251
5,1,0,72,432,127
10,0,0,72,78,217
13,1,0,72,634,244
8,1,0,72,459,296
3,1,0,72,429,410
1,0,0,72,197,340
12,1,0,72,481,202
4,0,0,72,222,94
12,1,0,73,481,202
3,1,0,73,429,410
11,0,0,73,74,251
9,1,0,73,564,226
4,0,0,73,221,93
8,1,0,73,459,296
2,0,0,73,257,266
1,0,0,73,197,340
7,1,0,73,597,263
15,-1,1,73,347,196
10,0,0,73,78,217
6,0,0,73,314,206
5,1,0,73,432,127
6,0,0,74,315,205
10,0,0,74,77,216
8,1,0,74,459,296
11,0,0,74,74,251
9,1,0,74,564,226
15,-1,1,74,347,196
4,0,0,74,222,94
1,0,0,74,197,340
5,1,0,74,432,127
7,1,0,74,597,264
2,0,0,74,257,266
12,1,0,74,482,201
3,1,0,74,429,410
2,0,0,75,257,266
9,1,0,75,564,227
3,1,0,75,429,410
11,0,0,75,75,251
4,0,0,75,222,94
15,-1,1,75,347,196
13,1,0,75,635,244
6,0,0,75,314,206
10,0,0,75,77,215
8,1,0,75,459,296
12,1,0,75,482,200
1,0,0,75,197,340
5,1,0,75,432,127
7,1,0,75,597,264
4,0,0,76,222,94
9,1,0,76,565,226
8,1,0,76,459,296
15,-1,1,76,347,196
6,0,0,76,315,206
12,1,0,76,482,200
10,0,0,76,77,214
2,0,0,76,257,266
7,1,0,76,597,264
11,0,0,76,75,251
5,1,0,76,432,127
13,1,0,76,634,245
3,1,0,76,429,410
1,0,0,76,197,341
7,1,0,77,597,264
13,1,0,77,634,245
5,1,0,77,432,127
12,1,0,77,481,201
10,0,0,77,77,214
4,0,0,77,222,94
11,0,0,77,74,251
9,1,0,77,565,226
1,0,0,77,197,340
2,0,0,77,257,266
6,0,0,77,315,206
3,1,0,77,429,410
8,1,0,77,459,296
15,-1,1,77,347,196
4,0,0,78,221,93
10,0,0,78,77,215
11,0,0,78,74,251
8,1,0,78,459,296
12,1,0,78,481,202
9,1,0,78,566,226
2,0,0,78,256,266
13,1,0,78,634,245
7,1,0,78,597,264
1,0,0,78,197,340
15,-1,1,78,347,196
6,0,0,78,315,206
3,1,0,78,429,410
5,1,0,78,432,127
10,0,0,79,78,215
1,0,0,79,197,340
8,1,0,79,459,296
7,1,0,79,597,264
3,1,0,79,429,410
11,0,0,79,74,251
4,0,0,79,222,93
9,1,0,79,566,226
2,0,0,79,257,266
5,1,0,79,432,127
13,1,0,79,635,244
15,-1,1,79,347,196
6,0,0,79,315,206
12,1,0,79,482,200
12,1,0,80,481,201
9,1,0,80,566,225
7,1,0,80,597,264
2,0,0,80,257,266
3,1,0,80,429,410
1,0,0,80,197,340
11,0,0,80,74,251
10,0,0,80,77,214
4,0,0,80,222,94
5,1,0,80,432,127
13,1,0,80,635,244
6,0,0,80,315,206
15,-1,1,80,347,196
8,1,0,80,459,296
15,-1,1,81,347,196
10,0,0,81,77,214
2,0,0,81,257,266
4,0,0,81,222,93
3,1,0,81,429,410
5,1,0,81,432,127
12,1,0,81,481,202
13,1,0,81,634,244
9,1,0,81,566,225
6,0,0,81,316,206
11,0,0,81,74,251
7,1,0,81,597,265
8,1,0,81,459,297
1,0,0,81,197,340
6,0,0,82,316,206
11,0,0,82,74,251
7,1,0,82,596,265
15,-1,1,82,348,196
9,1,0,82,566,226
13,1,0,82,634,245
3,1,0,82,429,410
8,1,0,82,459,296
5,1,0,82,432,127
2,0,0,82,257,266
10,0,0,82,77,214
12,1,0,82,481,202
1,0,0,82,197,340
4,0,0,82,222,93
15,-1,1,83,347,196
13,1,0,83,633,245
7,1,0,83,596,265
5,1,0,83,432,127
10,0,0,83,77,214
3,1,0,83,429,410
12,1,0,83,481,202
6,0,0,83,316,206
4,0,0,83,222,93
11,0,0,83,74,251
2,0,0,83,257,266
9,1,0,83,565,226
8,1,0,83,459,297
1,0,0,83,197,340
10,0,0,84,78,215
2,0,0,84,257,266
9,1,0,84,565,226
12,1,0,84,481,202
13,1,0,84,634,246
7,1,0,84,597,264
15,-1,1,84,347,196
6,0,0,84,316,207
4,0,0,84,222,94
8,1,0,84,459,296
5,1,0,84,432,127
1,0,0,84,198,340
3,1,0,84,429,410
11,0,0,84,74,251
10,0,0,85,78,216
3,1,0,85,429,410
9,1,0,85,565,226
2,0,0,85,257,266
1,0,0,85,198,340
7,1,0,85,596,265
8,1,0,85,459,296
5,1,0,85,432,127
11,0,0,85,75,251
12,1,0,85,481,202
13,1,0,85,634,246
15,-1,1,85,347,196
6,0,0,85,315,207
4,0,0,85,222,94
8,1,0,86,459,297
5,1,0,86,432,127
2,0,0,86,257,266
7,1,0,86,596,265
13,1,0,86,634,246
11,0,0,86,75,251
15,-1,1,86,347,196
6,0,0,86,315,206
3,1,0,86,430,410
10,0,0,86,78,215
1,0,0,86,198,340
9,1,0,86,565,226
12,1,0,86,481,201
4,0,0,86,222,94
11,0,0,87,75,251
5,1,0,87,432,128
10,0,0,87,78,216
15,-1,1,87,347,196
2,0,0,87,257,266
12,1,0,87,481,201
8,1,0,87,459,296
7,1,0,87,596,265
13,1,0,87,634,246
4,0,0,87,222,94
3,1,0,87,430,410
9,1,0,87,565,226
1,0,0,87,198,340
6,0,0,87,315,206
7,1,0,88,596,265
5,1,0,88,432,127
9,1,0,88,565,227
4,0,0,88,222,94
15,-1,1,88,347,196
10,0,0,88,78,216
2,0,0,88,257,266
